,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,ticker
13374,2019-05-10 12:00:00,6313.65,6266.14,6305.43,2690.27,16889055.47,6307.05,direct,,BTC
13375,2019-05-10 13:00:00,6320.08,6288.77,6307.05,2828.4,17782441.19,6290.63,direct,,BTC
13376,2019-05-10 14:00:00,6291.59,6260.57,6290.63,2266.44,14202993.17,6276.94,direct,,BTC
13377,2019-05-10 15:00:00,6342.24,6264.47,6276.94,2104.74,13268516.7,6335.89,direct,,BTC
13378,2019-05-10 16:00:00,6444.57,6321.99,6335.89,6968.54,44564272.15,6396.85,direct,,BTC
13379,2019-05-10 17:00:00,6427.86,6361.59,6396.85,3627.86,23208750.35,6422.98,direct,,BTC
13380,2019-05-10 18:00:00,6433.74,6393.07,6422.98,2979.22,19106499.34,6413.34,direct,,BTC
13381,2019-05-10 19:00:00,6418.92,6383.28,6413.34,3200.14,20509463.4,6391.2,direct,,BTC
13382,2019-05-10 20:00:00,6391.32,6262.32,6391.2,4821.93,30479712.42,6312.88,direct,,BTC
13383,2019-05-10 21:00:00,6354.15,6300.52,6312.88,2033.59,12851791.9,6348.84,direct,,BTC
13384,2019-05-10 22:00:00,6406.06,6346.61,6348.84,1493.32,9518218.43,6405.7,direct,,BTC
13385,2019-05-10 23:00:00,6405.83,6351.55,6405.7,1043.38,6636394.54,6358.29,direct,,BTC
13386,2019-05-11 00:00:00,6402.67,6357.02,6358.29,912.43,5812936.95,6395.92,direct,,BTC
13387,2019-05-11 01:00:00,6494.46,6387.15,6395.92,3611.55,23290660.14,6494.46,direct,,BTC
13388,2019-05-11 02:00:00,6533.52,6462.79,6494.46,3815.36,24799038.73,6531.61,direct,,BTC
13389,2019-05-11 03:00:00,6582.84,6531.61,6531.61,4186.14,27463410.44,6561.26,direct,,BTC
13390,2019-05-11 04:00:00,6751.5,6547.25,6561.26,8819.92,58756471.27,6702.37,direct,,BTC
13391,2019-05-11 05:00:00,6747.78,6646.85,6702.37,6348.87,42557314.63,6720.57,direct,,BTC
13392,2019-05-11 06:00:00,6939.15,6714.49,6720.57,17500.36,119519305.75,6814.43,direct,,BTC
13393,2019-05-11 07:00:00,6873.22,6769.84,6814.43,4838.97,32999658.94,6800.32,direct,,BTC
13394,2019-05-11 08:00:00,6814.18,6678.42,6800.32,4404.22,29717805.57,6686.08,direct,,BTC
13395,2019-05-11 09:00:00,6810.52,6685.47,6686.08,2666.2,18012323.53,6783.48,direct,,BTC
13396,2019-05-11 10:00:00,6843.58,6778.99,6783.48,3225.19,21979203.02,6825.83,direct,,BTC
13397,2019-05-11 11:00:00,6826.16,6779.07,6825.83,2612.64,17778317.23,6780.78,direct,,BTC
13398,2019-05-11 12:00:00,6804.14,6721.85,6780.78,4038.75,27252715.87,6785.6,direct,,BTC
13399,2019-05-11 13:00:00,6820.85,6777.62,6785.6,2426.13,16508019.79,6805.15,direct,,BTC
13400,2019-05-11 14:00:00,6821.82,6773.1,6805.15,2497.81,16973809.23,6796.6,direct,,BTC
13401,2019-05-11 15:00:00,6932.25,6766.45,6796.6,4876.73,33466930.38,6932.22,direct,,BTC
13402,2019-05-11 16:00:00,6995.84,6883.55,6932.22,8775.63,60950955.5,6923.09,direct,,BTC
13403,2019-05-11 17:00:00,6968.65,6878.24,6923.09,3611.56,25039557.11,6965.82,direct,,BTC
13404,2019-05-11 18:00:00,7000.65,6921.0,6965.82,3824.54,26666330.03,6945.5,direct,,BTC
13405,2019-05-11 19:00:00,6947.58,6883.45,6945.5,2737.9,18948763.63,6930.02,direct,,BTC
13406,2019-05-11 20:00:00,6964.83,6910.07,6930.02,1688.68,11730436.43,6958.89,direct,,BTC
13407,2019-05-11 21:00:00,7055.21,6925.45,6958.89,3667.94,25655922.79,7053.12,direct,,BTC
13408,2019-05-11 22:00:00,7292.15,7050.61,7053.12,17374.83,124493197.45,7214.16,direct,,BTC
13409,2019-05-11 23:00:00,7394.94,7170.28,7214.16,16786.06,122768231.53,7191.36,direct,,BTC
13410,2019-05-12 00:00:00,7281.5,6942.99,7191.36,12971.04,92336888.27,7064.14,direct,,BTC
13411,2019-05-12 01:00:00,7207.0,7063.97,7064.14,4532.91,32349179.61,7177.7,direct,,BTC
13412,2019-05-12 02:00:00,7236.68,7154.11,7177.7,3730.78,26887789.27,7155.15,direct,,BTC
13413,2019-05-12 03:00:00,7207.31,7116.31,7155.15,4730.74,33869742.65,7151.79,direct,,BTC
13414,2019-05-12 04:00:00,7221.44,7151.79,7151.79,1756.68,12635771.19,7185.89,direct,,BTC
13415,2019-05-12 05:00:00,7351.87,7184.05,7185.89,4127.09,30089574.07,7312.63,direct,,BTC
13416,2019-05-12 06:00:00,7406.16,7282.61,7312.63,4779.55,35144073.64,7373.58,direct,,BTC
13417,2019-05-12 07:00:00,7515.58,7365.92,7373.58,7961.34,59414184.1,7495.98,direct,,BTC
13418,2019-05-12 08:00:00,7541.61,7196.76,7495.98,13045.89,95894668.87,7409.46,direct,,BTC
13419,2019-05-12 09:00:00,7526.15,7282.75,7409.46,9432.27,69912231.3,7369.23,direct,,BTC
13420,2019-05-12 10:00:00,7443.51,7211.68,7369.23,7460.78,54669822.01,7255.17,direct,,BTC
13421,2019-05-12 11:00:00,7288.94,6978.28,7255.17,13577.34,96888839.73,7178.32,direct,,BTC
13422,2019-05-12 12:00:00,7183.01,7029.96,7178.32,4285.7,30455017.61,7169.57,direct,,BTC
13423,2019-05-12 13:00:00,7239.68,7105.27,7169.57,3799.04,27284024.03,7110.33,direct,,BTC
13424,2019-05-12 14:00:00,7147.63,6927.0,7110.33,5466.95,38464429.0,6963.3,direct,,BTC
13425,2019-05-12 15:00:00,7025.54,6793.21,6963.3,13165.81,90706864.1,6877.09,direct,,BTC
13426,2019-05-12 16:00:00,6976.78,6829.71,6877.09,5048.49,34866955.01,6846.45,direct,,BTC
13427,2019-05-12 17:00:00,6955.03,6843.88,6846.45,2827.24,19556887.28,6932.35,direct,,BTC
13428,2019-05-12 18:00:00,7082.64,6932.35,6932.35,3570.97,25081037.81,7080.39,direct,,BTC
13429,2019-05-12 19:00:00,7080.42,6968.42,7080.39,2253.21,15807348.7,7023.66,direct,,BTC
13430,2019-05-12 20:00:00,7164.51,6987.68,7023.66,3160.75,22437459.38,7159.18,direct,,BTC
13431,2019-05-12 21:00:00,7162.6,7055.26,7159.18,2636.54,18742869.32,7145.1,direct,,BTC
