,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
47692,2025-04-02 21:00:00,85722.46,84030.18,85644.77,3200.38,270843425.37,84847.38,direct,
47693,2025-04-02 22:00:00,84847.38,82654.33,84847.38,3290.26,275061124.24,82793.98,direct,
47694,2025-04-02 23:00:00,82794.59,82299.2,82793.98,2425.12,200169056.75,82490.58,direct,
47695,2025-04-03 00:00:00,83388.18,82153.71,82490.58,1685.41,139712646.22,83206.03,direct,
47696,2025-04-03 01:00:00,83928.41,83089.07,83206.03,1212.71,101247619.05,83756.9,direct,
47697,2025-04-03 02:00:00,83879.27,83263.47,83756.9,921.12,76985678.55,83757.43,direct,
47698,2025-04-03 03:00:00,83765.07,83350.24,83757.43,472.5,39468240.07,83478.66,direct,
47699,2025-04-03 04:00:00,83730.92,83276.95,83478.66,361.2,30157144.47,83557.34,direct,
47700,2025-04-03 05:00:00,83693.56,83336.46,83557.34,319.65,26686101.42,83337.9,direct,
47701,2025-04-03 06:00:00,83402.63,83009.08,83337.9,400.57,33348806.69,83051.04,direct,
47702,2025-04-03 07:00:00,83482.72,82999.03,83051.04,382.56,31830615.79,83456.24,direct,
47703,2025-04-03 08:00:00,83769.81,83449.9,83456.24,602.46,50383125.58,83687.33,direct,
47704,2025-04-03 09:00:00,83754.26,83445.29,83687.33,334.51,27979254.45,83473.34,direct,
47705,2025-04-03 10:00:00,83734.32,83151.21,83473.34,748.28,62447986.06,83222.53,direct,
47706,2025-04-03 11:00:00,83335.14,83025.26,83222.53,482.6,40128114.79,83071.09,direct,
47707,2025-04-03 12:00:00,83123.75,81852.26,83071.09,2091.24,172221401.24,81927.07,direct,
47708,2025-04-03 13:00:00,82737.84,81760.43,81927.07,3421.63,281162514.19,82328.66,direct,
47709,2025-04-03 14:00:00,82360.17,81271.92,82328.66,3963.4,324464713.27,81489.49,direct,
47710,2025-04-03 15:00:00,82052.56,81178.57,81489.49,2514.29,205315453.29,82008.33,direct,
47711,2025-04-03 16:00:00,82423.73,81690.42,82008.33,1784.51,146413598.52,81791.24,direct,
47712,2025-04-03 17:00:00,82129.1,81599.16,81791.24,1176.49,96275613.36,81796.3,direct,
47713,2025-04-03 18:00:00,82258.48,81500.72,81796.3,1452.45,118791797.94,82055.98,direct,
47714,2025-04-03 19:00:00,82302.7,81776.81,82055.98,1451.77,119082351.43,81943.13,direct,
